route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000030,OCESN12263F3532568:2024-12-14T00:25:12Z,12263,1,131,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000062,OCESN12263F3827170:2025-01-21T00:39:14Z,12263,1,132,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000040,OCESN12263F3828397:2025-01-24T00:40:05Z,12263,1,133,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12263F3828398:2025-01-24T00:40:05Z,12263,1,134,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000037,OCESN12263F3829616:2025-01-28T00:48:51Z,12263,1,135,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000101,OCESN12264F3518992:2025-01-25T00:39:51Z,12264,0,136,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000106,OCESN12264F3826660:2025-01-25T00:39:51Z,12264,0,137,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000107,OCESN12264F3826661:2025-01-25T00:39:51Z,12264,0,138,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000108,OCESN12264F3827161:2025-01-21T00:39:14Z,12264,0,139,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12264F3828201:2025-01-21T00:39:14Z,12264,0,140,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000109,OCESN12264F3831220:2025-01-21T00:39:14Z,12264,0,141,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000110,OCESN12264F3832715:2025-01-21T00:39:14Z,12264,0,142,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000111,OCESN12264F3834305:2025-01-25T00:39:51Z,12264,0,143,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000112,OCESN12264F3834306:2025-01-25T00:39:51Z,12264,0,144,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000113,OCESN12265F3517551:2025-01-25T00:39:51Z,12265,1,145,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000114,OCESN12265F3586449:2025-01-25T00:39:51Z,12265,1,146,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000115,OCESN12265F3828000:2025-01-25T00:39:51Z,12265,1,147,
